fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_ammonia,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[ammonia],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.chemical_addition.capital_a_parameter[ammonia],fs.costing.chemical_addition.capital_b_parameter[ammonia],fs.unit.properties[0.0].flow_mass_comp[H2O],fs.unit.properties[0.0].flow_mass_comp[tds],fs.unit.chemical_dosage,fs.unit.solution_density,fs.unit.ratio_in_solution,fs.unit.chemical_flow_vol[0.0],fs.unit.chemical_flow_mass,fs.unit.electricity[0.0],fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[ChemicalAdditionZO],fs.costing.LCOW_aggregate_indirect_capex[ChemicalAdditionZO],fs.costing.LCOW_aggregate_fixed_opex[ChemicalAdditionZO],fs.costing.LCOW_aggregate_variable_opex[ChemicalAdditionZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[ammonia],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,fs.unit.lift_height,fs.unit.eta_pump,fs.unit.eta_motor,flow_mgd,dose,subtype,unit_class,unit,fs.costing.aggregate_flow_alum,fs.costing.aggregate_flow_costs[alum],fs.costing.chemical_addition.capital_a_parameter[alum],fs.costing.chemical_addition.capital_b_parameter[alum],fs.costing.LCOW_aggregate_variable_opex[alum],fs.costing.aggregate_flow_anhydrous_ammonia,fs.costing.aggregate_flow_costs[anhydrous_ammonia],fs.costing.chemical_addition.capital_a_parameter[anhydrous_ammonia],fs.costing.chemical_addition.capital_b_parameter[anhydrous_ammonia],fs.costing.LCOW_aggregate_variable_opex[anhydrous_ammonia],fs.costing.aggregate_flow_anti-scalant,fs.costing.aggregate_flow_costs[anti-scalant],fs.costing.chemical_addition.capital_a_parameter[anti-scalant],fs.costing.chemical_addition.capital_b_parameter[anti-scalant],fs.costing.LCOW_aggregate_variable_opex[anti-scalant],fs.costing.aggregate_flow_caustic_soda,fs.costing.aggregate_flow_costs[caustic_soda],fs.costing.chemical_addition.capital_a_parameter[caustic_soda],fs.costing.chemical_addition.capital_b_parameter[caustic_soda],fs.costing.LCOW_aggregate_variable_opex[caustic_soda],fs.costing.aggregate_flow_ferric_chloride,fs.costing.aggregate_flow_costs[ferric_chloride],fs.costing.chemical_addition.capital_a_parameter[ferric_chloride],fs.costing.chemical_addition.capital_b_parameter[ferric_chloride],fs.costing.LCOW_aggregate_variable_opex[ferric_chloride],fs.costing.aggregate_flow_hydrochloric_acid,fs.costing.aggregate_flow_costs[hydrochloric_acid],fs.costing.chemical_addition.capital_a_parameter[hydrochloric_acid],fs.costing.chemical_addition.capital_b_parameter[hydrochloric_acid],fs.costing.LCOW_aggregate_variable_opex[hydrochloric_acid],fs.costing.aggregate_flow_lime,fs.costing.aggregate_flow_costs[lime],fs.costing.chemical_addition.capital_a_parameter[lime],fs.costing.chemical_addition.capital_b_parameter[lime],fs.costing.LCOW_aggregate_variable_opex[lime],fs.costing.aggregate_flow_sodium_bisulfite,fs.costing.aggregate_flow_costs[sodium_bisulfite],fs.costing.chemical_addition.capital_a_parameter[sodium_bisulfite],fs.costing.chemical_addition.capital_b_parameter[sodium_bisulfite],fs.costing.LCOW_aggregate_variable_opex[sodium_bisulfite],fs.costing.aggregate_flow_sulfuric_acid,fs.costing.aggregate_flow_costs[sulfuric_acid],fs.costing.chemical_addition.capital_a_parameter[sulfuric_acid],fs.costing.chemical_addition.capital_b_parameter[sulfuric_acid],fs.costing.LCOW_aggregate_variable_opex[sulfuric_acid]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,17227.983565146882,0.0,0.0,2.3741759043337158e-05,,0.016264230022680796,,18115.224718751946,2109.428088565767,,,43.812636388888876,4.381263638888888e-05,1.0,1360.0,0.5,6.443041206106656e-08,8.762536040305052e-05,2.3741759043337158e-05,17227.983565146882,1.0515,0.014900000000000002,5067.0539897490835,256.6969551206886,256.6969551206886,1852.7311334450787,3287.849453322281,25.841975347720325,861.3991782573441,17.227983565146882,15.505185208632195,137.82386852117506,51.68395069544065,34.455967130293764,0.0023779796560484436,0.00023840130310757036,0.0006139071956323046,0.00018565939399377458,0.001340011763314794,0.00023840130310757036,0.0006139071956323046,0.00018565939399377458,0.001340011763314794,1.1763314794157076e-08,,1.5052567058803362e-07,1.5052567058803362e-07,3.4,5067.0539897490835,100,0.9,0.9,1.0,1,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,41610.22979008891,0.0,0.0,0.00011870879521668578,,0.08132115011340398,,43753.15662427849,9883.648091097717,,,43.812636388888876,4.381263638888888e-05,5.0,1360.0,0.5,3.221520603053328e-07,0.0004381268020152526,0.00011870879521668578,41610.22979008891,1.0515,0.014900000000000002,12238.302879437915,619.9924238723248,619.9924238723248,9263.655667225394,12729.853718799142,62.41534468513336,2080.5114895044458,41.61022979008891,37.449206811080025,332.88183832071127,124.83068937026673,83.22045958017782,0.009207031403821923,0.0005758034866385169,0.0014827515584428447,0.0004484175421665924,0.006700058816573969,0.0005758034866385169,0.0014827515584428447,0.0004484175421665924,0.006700058816573969,5.881657397078538e-08,,7.526283529401681e-07,7.526283529401681e-07,3.4,12238.302879437915,100,0.9,0.9,1.0,5,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,60832.32967231776,0.0,0.0,0.00023741759043337157,,0.16264230022680795,,63965.19465044213,19433.71304656832,,,43.812636388888876,4.381263638888888e-05,10.0,1360.0,0.5,6.443041206106656e-07,0.0008762536040305052,0.00023741759043337157,60832.32967231776,1.0515,0.014900000000000002,17891.861668328755,906.4017121175348,906.4017121175348,18527.311334450787,23594.74075376881,91.24849450847664,3041.6164836158882,60.83232967231776,54.74909670508599,486.6586373785421,182.49698901695328,121.66465934463552,0.017065201524207242,0.0008417994253424532,0.002167717700199352,0.0006555667655175021,0.013400117633147938,0.0008417994253424532,0.002167717700199352,0.0006555667655175021,0.013400117633147938,1.1763314794157075e-07,,1.5052567058803361e-06,1.5052567058803361e-06,3.4,17891.861668328755,100,0.9,0.9,1.0,10,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,88934.19603856618,0.0,0.0,0.00047483518086674314,,0.3252846004536159,,93514.30713455233,38379.74218987621,,,43.812636388888876,4.381263638888888e-05,20.0,1360.0,0.5,1.2886082412213312e-06,0.0017525072080610104,0.00047483518086674314,88934.19603856618,1.0515,0.014900000000000002,26157.11648193123,1325.1195209746363,1325.1195209746363,37054.622668901575,44462.98206951658,133.40129405784927,4446.709801928309,88.93419603856618,80.04077643470957,711.4735683085295,266.80258811569854,177.86839207713237,0.03215842705380498,0.0012306738131159537,0.0031691081361548937,0.0009584098382382554,0.026800235266295876,0.0012306738131159537,0.0031691081361548937,0.0009584098382382554,0.026800235266295876,2.352662958831415e-07,,3.0105134117606723e-06,3.0105134117606723e-06,3.4,26157.11648193123,100,0.9,0.9,1.0,20,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,100499.93469269027,0.0,0.0,0.000593543976083429,,0.4066057505670199,,105675.68132936384,47815.72736304806,,,43.812636388888876,4.381263638888888e-05,25.0,1360.0,0.5,1.6107603015266641e-06,0.002190634010076263,0.000593543976083429,100499.93469269027,1.0515,0.014900000000000002,29558.80432137949,1497.449026921085,1497.449026921085,46318.278336126976,54690.08208660917,150.7499020390354,5024.996734634514,100.49993469269026,90.44994122342125,803.9994775415221,301.4998040780708,200.99986938538052,0.03955530946167932,0.0013907208178114375,0.0035812451779462335,0.0010830493830517951,0.03350029408286984,0.0013907208178114375,0.0035812451779462335,0.0010830493830517951,0.03350029408286984,2.940828698539269e-07,,3.763141764700841e-06,3.763141764700841e-06,3.4,29558.80432137949,100,0.9,0.9,1.0,25,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,146926.49355972413,0.0,0.0,0.001187087952166858,,0.8132115011340398,,154493.20797804993,94825.76142629383,,,43.812636388888876,4.381263638888888e-05,50.0,1360.0,0.5,3.2215206030533282e-06,0.004381268020152526,0.001187087952166858,146926.49355972413,1.0515,0.014900000000000002,43213.67457638945,2189.20475403989,2189.20475403989,92636.55667225395,104875.76631542161,220.38974033958618,7346.324677986207,146.92649355972412,132.23384420375172,1175.411948477793,440.77948067917237,293.85298711944824,0.07585275489379814,0.002033172796642707,0.005235623268634635,0.0015833706627811051,0.06700058816573969,0.002033172796642707,0.005235623268634635,0.0015833706627811051,0.06700058816573969,5.881657397078538e-07,,7.526283529401682e-06,7.526283529401682e-06,3.4,43213.67457638945,100,0.9,0.9,1.0,50,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,183476.52875769458,0.0,0.0,0.0017806319282502867,,1.2198172517010597,,192925.56998871587,141688.63528687053,,,43.812636388888876,4.381263638888888e-05,75.0,1360.0,0.5,4.832280904579992e-06,0.006571902030228788,0.0017806319282502867,183476.52875769458,1.0515,0.014900000000000002,53963.6849287337,2733.80027848965,2733.80027848965,138954.83500838088,154238.72047831683,275.21479313654186,9173.826437884729,183.47652875769458,165.12887588192515,1467.8122300615566,550.4295862730837,366.95305751538916,0.11155515016107635,0.0025389531734856326,0.006538058317042853,0.0019772564219383447,0.10050088224860952,0.0025389531734856326,0.006538058317042853,0.0019772564219383447,0.10050088224860952,8.822486095617808e-07,,1.128942529410252e-05,1.128942529410252e-05,3.4,53963.6849287337,100,0.9,0.9,1.0,75,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,214800.08495294853,0.0,0.0,0.002374175904333716,,1.6264230022680797,,225862.28932802542,188473.63461030685,,,43.812636388888876,4.381263638888888e-05,100.0,1360.0,0.5,6.4430412061066564e-06,0.008762536040305052,0.002374175904333716,214800.08495294853,1.0515,0.014900000000000002,63176.49557439663,3200.5212657989337,3200.5212657989337,185273.1133445079,203166.30066161155,322.2001274294228,10740.004247647426,214.80008495294854,193.3200764576537,1718.4006796235883,644.4002548588456,429.6001699058971,0.14694265556464237,0.0029724093923561364,0.007654251426256286,0.00231481841455052,0.13400117633147937,0.0029724093923561364,0.007654251426256286,0.00231481841455052,0.13400117633147937,1.1763314794157077e-06,,1.5052567058803364e-05,1.5052567058803364e-05,3.4,63176.49557439663,100,0.9,0.9,1.0,100,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,242734.46515887213,0.0,0.0,0.0029677198804171447,,2.0330287528350994,,255235.2901145541,235208.13521150206,,,43.812636388888876,4.381263638888888e-05,125.0,1360.0,0.5,8.05380150763332e-06,0.010953170050381315,0.0029677198804171447,242734.46515887213,1.0515,0.014900000000000002,71392.48975260946,3616.743530867195,3616.743530867195,231591.39168063484,251811.55711658453,364.1016977383082,12136.723257943608,242.73446515887213,218.46101864298493,1941.875721270977,728.2033954766164,485.46893031774425,0.18212596667893202,0.0033589661021075443,0.00864967360953714,0.00261585655293809,0.16750147041434924,0.0033589661021075443,0.00864967360953714,0.00261585655293809,0.16750147041434924,1.4704143492696345e-06,,1.8815708823504204e-05,1.8815708823504204e-05,3.4,71392.48975260946,100,0.9,0.9,1.0,125,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,354867.1344010544,0.0,0.0,0.0059354397608342895,,4.066057505670199,,373142.7918227088,468470.3036638454,,,43.812636388888876,4.381263638888888e-05,250.0,1360.0,0.5,1.610760301526664e-05,0.02190634010076263,0.0059354397608342895,354867.1344010544,1.0515,0.014900000000000002,104372.68658854542,5287.520302575711,5287.520302575711,463182.7833612697,492743.7777617735,532.3007016015816,17743.35672005272,354.86713440105444,319.380420960949,2838.9370752084355,1064.6014032031633,709.7342688021089,0.35638331249563365,0.004910661015628813,0.012645443181345755,0.0038242674699606027,0.33500294082869847,0.004910661015628813,0.012645443181345755,0.0038242674699606027,0.33500294082869847,2.940828698539269e-06,,3.763141764700841e-05,3.763141764700841e-05,3.4,104372.68658854542,100,0.9,0.9,1.0,250,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,518800.1753092341,0.0,0.0,0.011870879521668579,,8.132115011340398,,545518.3843376597,934095.689334647,,,43.812636388888876,4.381263638888888e-05,500.0,1360.0,0.5,3.221520603053328e-05,0.04381268020152526,0.011870879521668579,518800.1753092341,1.0515,0.014900000000000002,152588.2868556571,7730.12261210759,7730.12261210759,926365.5667225394,969582.4430984857,778.2002629638512,25940.00876546171,518.8001753092342,466.92015777831074,4150.4014024738735,1556.4005259277023,1037.6003506184684,0.7012630466459325,0.007179170875016032,0.01848708292025378,0.005590911193265653,0.6700058816573969,0.007179170875016032,0.01848708292025378,0.005590911193265653,0.6700058816573969,5.881657397078538e-06,,7.526283529401681e-05,7.526283529401681e-05,3.4,152588.2868556571,100,0.9,0.9,1.0,500,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,35107.40792629339,0.0,0.0,8.705311649223622e-05,,0.05963551008316291,,36915.4394344975,7316.447867400392,,,160.64633342592586,0.0001606463334259259,1.0,1360.0,0.5,2.3624484422391067e-07,0.0003212929881445185,8.705311649223622e-05,35107.40792629339,1.0515,0.014900000000000002,10325.708213615702,523.1003781017715,523.1003781017715,6793.3474892986205,9717.850179233488,52.661111889440086,1755.3703963146695,35.10740792629339,31.596667133664052,280.8592634103471,105.32222377888017,70.21481585258678,0.0019168802383238773,0.0001324956167975926,0.00034118946281548075,0.00010318339539600984,0.001340011763314794,0.0001324956167975926,0.00034118946281548075,0.00010318339539600984,0.001340011763314794,1.1763314794157078e-08,,1.5052567058803362e-07,1.5052567058803362e-07,3.4,10325.708213615702,100,0.9,0.9,3.6666666666666665,1,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,84793.86491305841,0.0,0.0,0.0004352655824611811,,0.2981775504158145,,89160.74895608093,35230.16603369767,,,160.64633342592586,0.0001606463334259259,5.0,1360.0,0.5,1.1812242211195533e-06,0.0016064649407225924,0.0004352655824611811,84793.86491305841,1.0515,0.014900000000000002,24939.372033252475,1263.4285872045705,1263.4285872045705,33966.7374464931,41030.20070612301,127.19079736958761,4239.69324565292,84.79386491305841,76.31447842175257,678.3509193044673,254.38159473917523,169.58772982611683,0.008093351868718894,0.00032001267242214157,0.0008240646327542567,0.00024921574696852583,0.00670005881657397,0.00032001267242214157,0.0008240646327542567,0.00024921574696852583,0.00670005881657397,5.881657397078538e-08,,7.526283529401682e-07,7.526283529401682e-07,3.4,24939.372033252475,100,0.9,0.9,3.6666666666666665,5,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,123964.90888425178,0.0,0.0,0.0008705311649223622,,0.596355100831629,,130349.10169179074,69780.55203536156,,,160.64633342592586,0.0001606463334259259,10.0,1360.0,0.5,2.3624484422391066e-06,0.003212929881445185,0.0008705311649223622,123964.90888425178,1.0515,0.014900000000000002,36460.26731889758,1847.0771423753517,1847.0771423753517,67933.4748929862,78259.94816183746,185.94736332637768,6198.245444212589,123.96490888425178,111.56841799582661,991.7192710740143,371.89472665275537,247.92981776850357,0.015437050923490358,0.00046784448166493914,0.0012047463247353849,0.0003643424839420938,0.01340011763314794,0.00046784448166493914,0.0012047463247353849,0.0003643424839420938,0.01340011763314794,1.1763314794157075e-07,,1.5052567058803364e-06,1.5052567058803364e-06,3.4,36460.26731889758,100,0.9,0.9,3.6666666666666665,10,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,181231.25594566745,0.0,0.0,0.0017410623298447245,,1.192710201663258,,190564.66562686936,138567.29549956284,,,160.64633342592586,0.0001606463334259259,20.0,1360.0,0.5,4.724896884478213e-06,0.00642585976289037,0.0017410623298447245,181231.25594566745,1.0515,0.014900000000000002,53303.31057225513,2700.3457135904455,2700.3457135904455,135866.9497859724,150963.80047418375,271.8468839185012,9061.562797283374,181.23125594566744,163.10813035110073,1449.8500475653395,543.6937678370024,362.4625118913349,0.029778142335392218,0.000683968098412066,0.0017612862502209112,0.0005326527204633646,0.02680023526629588,0.000683968098412066,0.0017612862502209112,0.0005326527204633646,0.02680023526629588,2.352662958831415e-07,,3.0105134117606727e-06,3.0105134117606727e-06,3.4,53303.31057225513,100,0.9,0.9,3.6666666666666665,20,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,204800.06789419288,0.0,0.0,0.0021763279123059053,,1.4908877520790724,,215347.27139074384,172885.208244089,,,160.64633342592586,0.0001606463334259259,25.0,1360.0,0.5,5.906121105597766e-06,0.008032324703612963,0.0021763279123059053,204800.06789419288,1.0515,0.014900000000000002,60235.314086527316,3051.5210116234744,3051.5210116234744,169833.6872324655,186893.85728867867,307.2001018412893,10240.003394709645,204.8000678941929,184.3200611047736,1638.4005431535431,614.4002036825786,409.6001357883858,0.03686547282508618,0.000772916968771919,0.001990338486284569,0.0006019232871598464,0.03350029408286985,0.000772916968771919,0.001990338486284569,0.0006019232871598464,0.03350029408286985,2.9408286985392687e-07,,3.76314176470084e-06,3.76314176470084e-06,3.4,60235.314086527316,100,0.9,0.9,3.6666666666666665,25,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,299408.7105479063,0.0,0.0,0.004352655824611811,,2.981775504158145,,314828.2591411235,344128.56425209483,,,160.64633342592586,0.0001606463334259259,50.0,1360.0,0.5,1.1812242211195533e-05,0.016064649407225927,0.004352655824611811,299408.7105479063,1.0515,0.014900000000000002,88061.38545526656,4461.189787163804,4461.189787163804,339667.374464931,364608.5943130501,449.11306582185944,14970.435527395315,299.4087105479063,269.46783949311566,2395.2696843832505,898.2261316437189,598.8174210958126,0.07192033178853362,0.0011299706848737743,0.002909787510618457,0.0008799854273016914,0.0670005881657397,0.0011299706848737743,0.002909787510618457,0.0008799854273016914,0.0670005881657397,5.881657397078537e-07,,7.52628352940168e-06,7.52628352940168e-06,3.4,88061.38545526656,100,0.9,0.9,3.6666666666666665,50,alum,ChemicalAdditionZO,chemical_addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
